ID,movieName,distributionCompany,releaseSeason,seasonNum,releaseMonth,releaseYear,releaseDate,totalRevenue,ticketsSold,director,genre,Genre_Enum,moreThanMil
83,İnanılmaz Örümcek-Adam 2,Warner Bros.,Spring,2,4,2014,4/25/2014,7663076,652628,Marc Webb,Science - Fiction ,12,N
84,Maymunlar Cehennemi: Şafak Vakti,TME.,Summer,3,7,2014,7/11/2014,7012474,626476,Matt Reeves,Science - Fiction ,12,N
85,Çılgın Dersane 3,Tig..,Winter,1,1,2014,1/17/2014,5017192,548302,Kamil Çetin,Comedy,4,N
86,Düğün Dernek,UIP.,Winter,1,12,2013,12/6/2013,68917965,6980070,Selçuk Aydemir,Comedy,4,Y
87,CM101MMXI Fundamentals,Tig..,Winter,1,1,2013,1/3/2013,37298938,3842535,Cem Yılmaz,Comedy,4,Y
88,Celal ile Ceren,Tig..,Winter,1,1,2013,1/18/2013,26601627,2853772,Togan Gökbakar,Comedy,4,Y
89,Kelebeğin Rüyası,UIP.,Winter,1,2,2013,2/22/2013,20898864,2167456,yılmaz Erdoğan,Drama,6,Y
90,Selam,Warner Bros.,Spring,2,3,2013,3/29/2013,14910817,2145545,Levent Demirkale,Religious,10,Y
91,Hükümet Kadın 2,UIP.,Fall,4,11,2013,11/8/2013,14536066,1530071,Sermiyan Midyat,Comedy,4,Y
92,Romantik Komedi 2: Bekarlığa Veda,Pin..,Winter,1,2,2013,2/14/2013,14623156,1507603,Erol Özlevi,Romance,11,Y
93,Hükümet Kadın,UIP.,Winter,1,2,2013,2/1/2013,12999529,1401665,Sermiyan Midyat,Comedy,4,Y
94,Benim Dünyam,UIP.,Fall,4,10,2013,10/25/2013,13868774,1382471,Uğur Yücel,Drama,6,Y
95,Hızlı ve Öfkeli 6,UIP.,Spring,2,5,2013,5/24/2013,11225845,1180105,Justin Lin,Action,1,Y
96,Su ve Ateş,UIP.,Fall,4,11,2013,11/15/2013,11467223,1215086,Özcan Deniz,Romance,11,Y
97,Şirinler 2,Warner Bros.,Summer,3,8,2013,8/1/2013,11528616,1120016,Raja Gosnel,Animation,3,Y
98,Hobbit: Smaug'un Çorak Toprakları,Warner Bros.,Winter,1,12,2013,12/13/2013,14572407,1210949,Peter Jackson,Fantasy,7,Y
99,Açlık Oyunları 2: Ateşi Yakalamak,Tig..,Fall,4,11,2013,11/22/2013,9214037,864780,Francis Lawrance,Adventure,2,N
100,Dünya Savaşı Z,UIP.,Summer,3,6,2013,6/21/2013,8379741,757886,Marc Forster,Action,1,N
101,Iron Man 3,UIP.,Spring,2,5,2013,5/3/2013,8208682,716817,Shane black,Science - Fiction ,12,N
102,Çılgın Hırsız 2,UIP.,Fall,4,10,2013,10/4/2013,8252085,697180,Pierre Coffin,Animation,3,N
103,Çanakkale: Yolun Sonu,Warner Bros.,Spring,2,3,2013,3/15/2013,5372309,670925,Kemal Uzun,History,8,N
104,Thor: Karanlık Dünya,UIP.,Fall,4,11,2013,11/1/2013,7528083,615195,Alan Taylor,Science - Fiction ,12,N
105,Tamam mıyız?,UIP.,Fall,4,11,2013,11/29/2013,4976745,500835,Çağan Irmak,Comedy,4,N
