ID,movieName,distributionCompany,releaseSeason,seasonNum,releaseMonth,releaseYear,releaseDate,totalRevenue,ticketsSold,director,genre,Genre_Enum,moreThanMil
248,Kabadayı,UIP.,Winter,1,12,2007,12/14/2007,15334881,2002631,Ömer Vargı,Drama,6,Y
249,Maskeli Beşler: Irak,Özen.,Winter,1,1,2007,1/11/2007,8601108,1239902,Murat Aslan,Comedy,4,Y
250,Son Osmanlı: Yandım Ali,Özen.,Winter,1,1,2007,1/19/2007,7604959,1087570,Mustafa Şevki doğan,Drama,6,Y
251,Karayip Korsanları: Dünyanın Sonu,UIP.,Spring,2,5,2007,5/25/2007,7400884,970114,Gore Verbinsski,Fantasy,7,N
252,300 Spartalı,Warner Bros.,Spring,2,3,2007,3/16/2007,6384398,807443,Zack snyder,Fantasy,7,N
253,Çılgın Dersane,Warner Bros.,Winter,1,1,2007,1/26/2007,5460861,783199,Faruk aksoy,Comedy,4,N
254,Örümcek-Adam 3,Warner Bros.,Spring,2,5,2007,5/4/2007,5671787,737889,Sam Raimi,Science - Fiction ,12,N
255,Harry Potter ve Zümrüdüanka Yoldaşlığı,Warner Bros.,Summer,3,8,2007,8/10/2007,5148927,687224,David Yates,Fantasy,7,N
256,Şrek 3,UIP.,Summer,3,6,2007,6/15/2007,4883103,663139,chris miller,Animation,3,N
257,Mutluluk,KenD.,Spring,2,3,2007,3/17/2007,4537217,590106,abdullah oğuz,Drama,6,N
258,Testere 4,Warner Bros.,Fall,4,10,2007,10/26/2007,4033158,525005,Darren Lyn bousman,Horror,9,N
259,Neşeli Ayaklar,Warner Bros.,Winter,1,1,2007,1/26/2007,3538617,453395,George Miller,Animation,3,N
260,Beynelmilel,KenD.,Winter,1,12,2006,12/29/2006,3141775,431696,Muharrem Gülmez,Comedy,4,N
261,Altın Pusula,MVZ.,Winter,1,12,2007,12/7/2007,3576536,443229,Chris Weitz,Adventure,2,N
262,Transformers,UIP.,Summer,3,7,2007,7/6/2007,3227582,409055,Michael Bay,Science - Fiction ,12,N
263,Kutsal Damacana,Özen.,Winter,1,12,2007,12/20/2007,4514747,627855,Kamil aydın,Comedy,4,N
264,Pars: Kiraz Operasyonu,UIP.,Spring,2,4,2007,4/20/2007,2721328,379818,Osman sınav,Crime,5,N
265,Amerikalılar Karadeniz'de 2,KenD.,Winter,1,1,2007,1/26/2007,2824915,379744,Kartal Tibet,Comedy,4,N
266,Kanlı Elmas,Warner Bros.,Winter,1,2,2007,2/2/2007,3177788,376623,Edward Zwick,Adventure,2,N
267,Arı Filmi,UIP.,Winter,1,12,2007,12/14/2007,3570616,464487,Steve hickner,Animation,3,N
268,Deja Vu,UIP.,Winter,1,1,2007,1/5/2007,2957559,345479,Tony Scott,Science - Fiction ,12,N
269,Ocean's 13,Warner Bros.,Summer,3,6,2007,6/8/2007,2907275,340425,Steven Sodenberg,Crime,5,N
270,Ratatouille,UIP.,Summer,3,8,2007,8/24/2007,2650508,334154,Brad Bird,Animation,3,N
271,Hayalet Sürücü,Warner Bros.,Winter,1,2,2007,2/16/2007,2499125,311683,Mark Steven johnson,Fantasy,7,N
272,Kurtlar Vadisi: Irak,KenD.,Winter,1,2,2006,2/3/2006,27434893,4256567,Serdar Akar,Action,1,Y
273,Babam ve Oğlum,Özen.,Fall,4,11,2005,11/18/2005,25470085,3839883,Çağan Irmak,Drama,6,Y
274,"Hababam Sınıfı 3,5",Özen.,Winter,1,1,2006,1/6/2006,12952669,2068165,Ferdi Eğilmez,Comedy,4,Y
275,Organize İşler,KenD.,Winter,1,12,2005,12/23/2005,17180298,2618244,Yılmaz Erdoğan,Comedy,4,Y
276,Hokkabaz,KenD.,Fall,4,10,2006,10/20/2006,12985183,1710212,Cem yılmaz,Drama,6,Y
277,Sınav,Özen.,Fall,4,10,2006,10/20/2006,7927300,1161226,Osman sınav,Drama,6,Y
278,Da Vinci Şifresi,Warner Bros.,Spring,2,5,2006,5/19/2006,7466333,1028928,Ron Howard,Crime,5,Y
279,Karayip Korsanları: Ölü Adamın Sandığı,UIP.,Summer,3,7,2006,7/14/2006,7182112,1005052,Gore Verbinski,Fantasy,7,Y
280,Keloğlan Kara Prens'e Karşı,KenD.,Winter,1,1,2006,1/6/2006,6517326,997238,Tayfun Güneğer,Comedy,4,N
281,Buz Devri 2: Erime Başlıyor,Özen.,Spring,2,4,2006,4/14/2006,6224368,949380,Carlos Saldanha,Animation,3,N
282,Hacivat Karagöz Neden Öldürüldü?,KenD.,Winter,1,2,2006,2/17/2006,4233546,649746,Ezel Akay,Comedy,4,N
283,Dabbe,Özen.,Winter,1,2,2006,2/10/2006,3308372,539381,Hasan Karacadağ,Horror,9,N
284,Testere 3,Warner Bros.,Fall,4,11,2006,11/3/2006,3676933,505571,Darren Lyn Bousman,Horror,9,N
285,Dondurmam Gaymak,Özen.,Fall,4,11,2006,11/24/2006,4591560,636823,Yüksel Aksu,Comedy,4,N
286,"Narnia Günlükleri: Aslan, Cadı ve Dolap",UIP.,Winter,1,1,2006,1/13/2006,3280736,467181,Andrew Adamson,Adventure,2,N
287,Görevimiz Tehlike 3,UIP.,Spring,2,5,2006,5/5/2006,2836359,382553,J. J. Abrams,Action,1,N
288,Garfield 2,Özen.,Summer,3,8,2006,8/18/2006,2433833,357822,Tim Hill,Comedy,4,N
289,Arabalar,UIP.,Fall,4,9,2006,9/15/2006,2376114,328802,John Lasseter,Animation,3,N
290,Temel İçgüdü 2,UNP.,Spring,2,3,2006,3/31/2006,2090646,291036,Michael Caton-Jones,Thriller,13,N
291,Takva,Özen.,Winter,1,12,2006,12/1/2006,2490837,349530,Özer Kızıltan,Drama,6,N
292,Beyza'nın Kadınları,UIP.,Spring,2,3,2006,3/17/2006,1789520,272560,Mustafa Altıoklar,Drama,6,N
293,Poseidondan Kaçış,Warner Bros.,Summer,3,6,2006,6/23/2006,1878212,258958,Wolfgang Petersen,Adventure,2,N
294,İlk Aşk,MVZ.,Fall,4,11,2006,11/17/2006,2004867,268499,Nihat Durak,Drama,6,N
295,Köstebek (2006),Warner Bros.,Fall,4,11,2006,11/24/2006,2556945,303652,Martin Scorcese,Crime,5,N
296,Dünyayı Kurtaran Adamın Oğlu,Warner Bros.,Winter,1,12,2006,12/15/2006,3102917,451260,Kartal Tibet,Comedy,4,N
297,Casino Royale,Warner Bros.,Fall,4,11,2006,11/17/2006,2198276,255734,Martin Campbell,Action,1,N
